group;first;second;third;forth;n;p
A;SEN;NED;QAT;ECU;4;0.000040
A;QAT;SEN;ECU;NED;1;0.000010
A;NED;SEN;QAT;ECU;53600;0.536000
A;SEN;ECU;NED;QAT;2;0.000020
A;SEN;QAT;NED;ECU;7;0.000070
A;NED;SEN;ECU;QAT;17094;0.170940
A;NED;QAT;SEN;ECU;12262;0.122620
A;NED;QAT;ECU;SEN;9191;0.091910
A;SEN;QAT;ECU;NED;2;0.000020
A;NED;ECU;SEN;QAT;6148;0.061480
A;NED;ECU;QAT;SEN;1689;0.016890
B;ENG;IRN;USA;WAL;701;0.007010
B;USA;IRN;ENG;WAL;1;0.000010
B;ENG;IRN;WAL;USA;388;0.003880
B;ENG;USA;WAL;IRN;34249;0.342490
B;ENG;USA;IRN;WAL;1585;0.015850
B;ENG;WAL;USA;IRN;62460;0.624600
B;ENG;WAL;IRN;USA;616;0.006160
C;ARG;MEX;KSA;POL;3809;0.038090
C;ARG;KSA;MEX;POL;811;0.008110
C;ARG;POL;MEX;KSA;53878;0.538780
C;ARG;POL;KSA;MEX;8162;0.081620
C;ARG;MEX;POL;KSA;25532;0.255320
C;ARG;KSA;POL;MEX;7808;0.078080
D;DEN;FRA;TUN;AUS;1;0.000010
D;FRA;AUS;TUN;DEN;5;0.000050
D;FRA;TUN;DEN;AUS;10;0.000100
D;FRA;AUS;DEN;TUN;164;0.001640
D;FRA;TUN;AUS;DEN;3;0.000030
D;FRA;DEN;TUN;AUS;24706;0.247060
D;AUS;FRA;TUN;DEN;1;0.000010
D;TUN;FRA;DEN;AUS;1;0.000010
D;FRA;DEN;AUS;TUN;75109;0.751090
E;GER;CRC;ESP;JPN;3;0.000030
E;GER;ESP;CRC;JPN;16;0.000160
E;ESP;GER;CRC;JPN;35;0.000350
E;GER;JPN;CRC;ESP;1;0.000010
E;ESP;GER;JPN;CRC;99904;0.999040
E;JPN;ESP;GER;CRC;1;0.000010
E;GER;JPN;ESP;CRC;12;0.000120
E;GER;CRC;JPN;ESP;3;0.000030
E;GER;ESP;JPN;CRC;25;0.000250
F;MAR;BEL;CRO;CAN;1;0.000010
F;BEL;CRO;CAN;MAR;86544;0.865440
F;BEL;CAN;MAR;CRO;5466;0.054660
F;BEL;CRO;MAR;CAN;1003;0.010030
F;CRO;BEL;CAN;MAR;2;0.000020
F;BEL;MAR;CAN;CRO;6077;0.060770
F;BEL;MAR;CRO;CAN;56;0.000560
F;MAR;BEL;CAN;CRO;46;0.000460
F;BEL;CAN;CRO;MAR;805;0.008050
G;SUI;CMR;BRA;SRB;2;0.000020
G;BRA;SUI;CMR;SRB;11100;0.111000
G;CMR;BRA;SUI;SRB;1;0.000010
G;BRA;CMR;SUI;SRB;27312;0.273120
G;BRA;SRB;CMR;SUI;24628;0.246280
G;BRA;SUI;SRB;CMR;3807;0.038070
G;BRA;SRB;SUI;CMR;17908;0.179080
G;BRA;CMR;SRB;SUI;15242;0.152420
H;POR;KOR;GHA;URU;73;0.000730
H;KOR;POR;GHA;URU;2;0.000020
H;POR;KOR;URU;GHA;10465;0.104650
H;KOR;URU;POR;GHA;1;0.000010
H;POR;URU;KOR;GHA;88270;0.882700
H;POR;GHA;KOR;URU;15;0.000150
H;GHA;POR;KOR;URU;1;0.000010
H;POR;GHA;URU;KOR;11;0.000110
H;POR;URU;GHA;KOR;1162;0.011620
